county,year,population
Muscatine ,2016,42942
Clinton ,2016,47285
Warren ,2016,49383
Pottawattamie ,2016,93649
Dallas ,2016,84278
Dubuque ,2016,96819
Story ,2016,97012
Woodbury ,2016,102654
Black Hawk ,2016,133144
Johnson ,2016,147167
Scott ,2016,172361
Linn ,2016,222299
Polk ,2016,474593
Adams ,2017,3655
Ringgold ,2017,5029
Audubon ,2017,5550
Osceola ,2017,6024
Taylor ,2017,6113
Wayne ,2017,6488
Pocahontas ,2017,6830
Ida ,2017,6864
Fremont ,2017,6927
Van Buren ,2017,7155
Adair ,2017,7047
Worth ,2017,7456
Monroe ,2017,7782
Decatur ,2017,7956
Lucas ,2017,8537
Monona ,2017,8721
Palo Alto ,2017,9045
Greene ,2017,8959
Davis ,2017,8969
Howard ,2017,9235
Emmet ,2017,9428
Clarke ,2017,9395
Humboldt ,2017,9568
Calhoun ,2017,9730
Sac ,2017,9797
Montgomery ,2017,10119
Franklin ,2017,10150
Keokuk ,2017,10144
Winnebago ,2017,10582
Mitchell ,2017,10544
Hancock ,2017,10762
Guthrie ,2017,10652
Louisa ,2017,11203
Cherokee ,2017,11315
Shelby ,2017,11584
Lyon ,2017,11791
Chickasaw ,2017,12008
Union ,2017,12472
Grundy ,2017,12296
Appanoose ,2017,12367
Wright ,2017,12758
Cass ,2017,13155
Allamakee ,2017,13812
O'Brien ,2017,13777
Harrison ,2017,14116
Butler ,2017,14593
Kossuth ,2017,14935
Hamilton ,2017,15034
Mills ,2017,15060
Page ,2017,15253
Floyd ,2017,15778
Clay ,2017,16151
Iowa ,2017,16139
Madison ,2017,16005
Hardin ,2017,17076
Crawford ,2017,17065
Tama ,2017,17040
Delaware ,2017,17139
Dickinson ,2017,17167
Clayton ,2017,17647
Jefferson ,2017,18108
Poweshiek ,2017,18359
Cedar ,2017,18488
Jackson ,2017,19377
Fayette ,2017,19680
Buena Vista ,2017,20154
Henry ,2017,20056
Winneshiek ,2017,20140
Carroll ,2017,20256
Jones ,2017,20610
Buchanan ,2017,21133
Washington ,2017,22236
Mahaska ,2017,22422
Bremer ,2017,24861
Plymouth ,2017,25053
Benton ,2017,25651
Boone ,2017,26498
Marion ,2017,33107
Lee ,2017,34239
Sioux ,2017,34784
Wapello ,2017,35043
Webster ,2017,36650
Jasper ,2017,36997
Des Moines ,2017,39400
Marshall ,2017,40051
Cerro Gordo ,2017,43030
Muscatine ,2017,42825
Clinton ,2017,46926
Warren ,2017,50087
Pottawattamie ,2017,93563
Dallas ,2017,87219
Dubuque ,2017,97162
Story ,2017,97335
