county,unemployment,year
Floyd County,2.7,2018
Franklin County,2.2,2018
Fremont County,1.9,2018
Greene County,2.3,2018
Grundy County,2.5,2018
Guthrie County,2.7,2018
Hamilton County,2.7,2018
Hancock County,2.3,2018
Hardin County,2.9,2018
Harrison County,2.3,2018
Henry County,2.5,2018
Howard County,2.6,2018
Humboldt County,2.5,2018
Ida County,2,2018
Iowa County,2.1,2018
Jackson County,2.8,2018
Jasper County,2.7,2018
Jefferson County,2.3,2018
Johnson County,2,2018
Jones County,3,2018
Keokuk County,2.9,2018
Kossuth County,2.1,2018
Lee County,4.1,2018
Linn County,2.8,2018
Louisa County,2.7,2018
Lucas County,2,2018
Lyon County,1.6,2018
Madison County,3.2,2018
Mahaska County,2.5,2018
Marion County,2.1,2018
Marshall County,4.5,2018
Mills County,2.1,2018
Mitchell County,1.8,2018
Monona County,2.8,2018
Monroe County,3,2018
Montgomery County,2.5,2018
Muscatine County,2.7,2018
O'Brien County,2,2018
Osceola County,1.9,2018
Page County,2.5,2018
Palo Alto County,2.2,2018
Plymouth County,1.9,2018
Pocahontas County,1.8,2018
Polk County,2.6,2018
Pottawattamie County,2.4,2018
Poweshiek County,2.4,2018
Ringgold County,2.8,2018
Sac County,2.4,2018
Scott County,3,2018
Shelby County,2,2018
Sioux County,1.8,2018
Story County,1.6,2018
Tama County,3,2018
Taylor County,2,2018
Union County,3.6,2018
Van Buren County,2.7,2018
Wapello County,3.5,2018
Warren County,2.3,2018
Washington County,2.4,2018
Wayne County,2.8,2018
Webster County,3.3,2018
Winnebago County,2.6,2018
Winneshiek County,2.7,2018
Woodbury County,2.5,2018
Worth County,2.8,2018
Wright County,2.6,2018
Adair County,2.3,2019
Adams County,1.7,2019
Allamakee County,3.4,2019
Appanoose County,3.5,2019
Audubon County,2.4,2019
Benton County,2.9,2019
Black Hawk County,3.1,2019
Boone County,2.3,2019
Bremer County,2.2,2019
Buchanan County,2.7,2019
Buena Vista County,2.1,2019
Butler County,3.1,2019
Calhoun County,2.5,2019
Carroll County,1.9,2019
Cass County,2.7,2019
Cedar County,2.4,2019
Cerro Gordo County,2.7,2019
Cherokee County,2.4,2019
Chickasaw County,2.8,2019
Clarke County,2.8,2019
Clay County,2.7,2019
Clayton County,3.5,2019
Clinton County,3.6,2019
Crawford County,3.5,2019
Dallas County,1.9,2019
Davis County,2.8,2019
Decatur County,2.2,2019
Delaware County,2.3,2019
Des Moines County,3.8,2019
Dickinson County,2.8,2019
Dubuque County,2.6,2019
Emmet County,2.5,2019
Fayette County,3.5,2019
Floyd County,3.5,2019
Franklin County,2.3,2019
Fremont County,2.7,2019
Greene County,2.3,2019
Grundy County,2.7,2019
Guthrie County,2.9,2019
Hamilton County,2.8,2019
Hancock County,2.4,2019
Hardin County,3.1,2019
Harrison County,2.4,2019
Henry County,2.6,2019
Howard County,2.7,2019
Humboldt County,2.6,2019
Ida County,1.9,2019
Iowa County,2.2,2019
Jackson County,3.1,2019
Jasper County,2.9,2019
Jefferson County,2.4,2019
Johnson County,2,2019
Jones County,3.1,2019
Keokuk County,3.2,2019
Kossuth County,2.2,2019
Lee County,3.8,2019
Linn County,2.8,2019
Louisa County,3,2019
Lucas County,2,2019
Lyon County,1.6,2019
Madison County,3.6,2019
Mahaska County,2.5,2019
Marion County,2.1,2019
Marshall County,4.4,2019
Mills County,2.3,2019
Mitchell County,1.7,2019
Monona County,2.9,2019
Monroe County,3,2019
Montgomery County,2.6,2019
Muscatine County,2.8,2019
O'Brien County,2.1,2019
Osceola County,1.9,2019
Page County,2.5,2019
Palo Alto County,2.2,2019
Plymouth County,2.2,2019
Pocahontas County,1.9,2019
Polk County,2.8,2019
Pottawattamie County,2.4,2019
Poweshiek County,2.6,2019
Ringgold County,2.8,2019
Sac County,2.3,2019
Scott County,3.2,2019
Shelby County,2.1,2019
Sioux County,1.8,2019
Story County,1.8,2019
Tama County,3,2019
Taylor County,1.9,2019
Union County,3.1,2019
Van Buren County,2.6,2019
Wapello County,3.6,2019
Warren County,2.5,2019
